hour,plug,value
268,6,3727.8669999999993
268,7,35056.95900000005
268,9,1732.0669999999993
268,11,31962.719000000034
269,2,17854.93199999983
269,5,4737.589999999961
269,6,3685.6740000000027
269,7,34981.07999999993
269,9,1746.855999999997
269,11,32143.735000000095
270,2,17780.465999999866
270,5,4778.59199999996
270,6,3704.666999999993
270,7,34399.542000000096
270,9,1734.0959999999977
270,11,31719.701000000085
271,2,18168.03299999988
271,5,4811.433999999956
271,6,3739.084000000001
271,7,34739.191999999995
271,9,1736.0519999999967
271,11,31805.803000000076
272,2,18208.11099999991
272,5,4447.151999999961
272,6,3464.387999999999
272,7,34661.30800000008
272,9,1798.059999999997
272,11,31803.20800000004
273,2,53342.203000000016
273,5,3659.226999999971
273,6,2844.2609999999945
273,7,34802.63200000006
273,9,1791.6509999999969
273,11,31733.772000000074
274,2,13746.092000000002
274,5,17265.733999999997
274,6,13230.578
274,7,35506.152000000046
274,9,1747.2559999999983
274,11,32694.437000000085
275,7,35078.95599999997
275,9,1848.421999999998
275,11,32199.16799999999
276,7,34523.92099999998
276,9,1792.3389999999977
276,11,31475.82400000006
277,7,35600.792000000016
277,9,1764.1089999999988
277,11,32476.06700000008
278,7,34224.43199999998
278,9,1684.4279999999985
278,11,31513.03700000003
279,7,34605.88700000005
279,9,1670.5729999999996
279,11,31671.166000000005
280,7,35272.726000000075
280,9,1748.334999999998
280,11,32444.550000000097
281,7,34620.74200000001
281,9,1775.8669999999968
281,11,31844.451000000023
282,0,651.2429999999998
282,4,2944.7560000000003
282,7,34667.33000000002
282,8,2665.557
282,9,1714.7799999999968
282,11,31859.553000000076
283,0,12559.259000000004
283,4,57961.22700000016
283,7,35107.82900000009
283,8,49529.39800000006
283,9,1693.2359999999962
283,11,32084.330000000053
284,0,11685.63
284,4,58220.81300000007
284,7,33994.81099999999
284,8,46004.024999999994
284,9,1805.902999999998
284,11,31069.291999999972
285,0,9538.768000000002
285,4,58517.64100000008
285,7,33787.432999999866
285,8,37570.705000000045
285,9,1728.5799999999965
285,11,30917.534000000018
286,4,21864.331999999995
286,7,33179.898
286,9,1752.804999999997
286,11,30445.121000000032
287,7,33967.89499999998
287,9,1786.267999999998
287,11,31020.050000000112
288,7,35017.095000000045
288,9,1756.2219999999961
288,11,31874.78200000004
289,7,33967.937000000056
289,9,1699.0729999999978
289,11,31214.433000000052
290,7,35119.55300000001
290,9,1711.3489999999981
290,11,32193.574000000062
291,7,34775.55500000011
291,9,1628.3489999999993
291,11,31935.374000000076
292,2,16649.355999999836
292,5,4491.877999999962
292,6,3494.154999999998
292,7,33568.69100000004
292,9,1644.7719999999986
292,11,30646.674000000097
293,2,17317.33999999984
293,5,4660.71699999996
293,6,3638.3630000000057
293,7,35198.181000000026
293,9,1666.3999999999983
293,11,32208.768000000055
294,2,17458.758999999838
294,5,4713.770999999966
294,6,3649.8110000000024
294,7,35242.26799999998
294,9,1799.5359999999976
294,11,32362.98900000003
295,2,17942.043999999856
295,5,4799.082999999955
295,6,3728.231000000002
295,7,34024.691000000006
295,9,1729.1799999999967
295,11,31074.36600000008
296,2,17797.619999999843
296,5,4752.758999999953
296,6,3695.410000000003
296,7,35147.180000000066
296,9,1790.4869999999976
296,11,32198.34200000005
297,2,52122.60699999987
297,5,215551.13700000013
297,6,168369.02099999978
297,7,34174.35400000005
297,9,1743.7279999999994
297,11,31407.64100000006
298,2,68437.8939999998
298,5,231065.69000000146
298,6,180245.31399999894
298,7,34394.88100000004
298,9,1785.3739999999982
298,11,31582.158999999996
299,2,58652.34600000011
299,5,250889.75700000115
299,6,195041.15399999972
299,7,35164.859999999986
299,9,1731.2939999999978
299,11,32217.25200000002
300,2,60910.494000000006
300,5,303496.13500000053
300,6,234884.08099999905
300,7,33745.668
300,9,1709.0079999999969
300,11,30808.0170000001
301,2,16775.73599999984
301,5,262005.76000000065
301,6,204083.61499999915
301,7,34316.266
301,9,1771.0259999999982
301,11,31569.819000000014
302,2,17245.54999999986
302,5,212748.22900000095
302,6,165282.4629999997
302,7,34051.571
302,9,1755.3989999999983
302,11,31175.04600000005
303,2,33074.60700000001
303,5,233862.32200000025
