min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
5745,11016.524000000001,1,1,1,1,1,1,1,1,1,1,1
5746,11576.329000000002,1,1,1,1,1,1,1,1,1,1,1
5747,12515.081,1,1,1,1,1,1,1,1,1,1,1
5748,12046.605000000003,1,1,1,1,1,1,1,1,1,1,1
5749,11597.219000000005,1,1,1,1,1,1,1,1,1,1,1
5750,11261.798000000003,1,1,1,1,1,1,1,1,1,1,1
5751,11885.132000000003,1,1,1,1,1,1,1,1,1,1,1
5752,11190.506,1,1,1,1,1,1,1,1,1,1,1
5753,10835.130000000001,1,1,1,1,1,1,1,1,1,1,1
5754,11310.351999999997,1,1,1,1,1,1,1,1,1,1,1
5755,11592.126,1,1,1,1,1,1,1,1,1,1,1
5756,11779.7,1,1,1,1,1,1,1,1,1,1,1
5757,10080.514,1,1,1,1,1,1,1,1,1,1,1
5758,11589.171999999995,1,1,1,1,1,1,1,1,1,1,1
5759,10820.915000000003,1,1,1,1,1,1,1,1,1,1,1
5760,10451.941,1,1,1,1,1,1,1,1,1,1,1
5761,11084.903999999999,1,1,1,1,1,1,1,1,1,1,1
5762,11309.054000000002,1,1,1,1,1,1,1,1,1,1,1
5763,10350.703999999998,1,1,1,1,1,1,1,1,1,1,1
5764,10914.784,1,1,1,1,1,1,1,1,1,1,1
5765,11496.674,1,1,1,1,1,1,1,1,1,1,1
5766,10638.919000000002,1,1,1,1,1,1,1,1,1,1,1
5767,11417.231,1,1,1,1,1,1,1,1,1,1,1
5768,11302.496,1,1,1,1,1,1,1,1,1,1,1
5769,11251.053,1,1,1,1,1,1,1,1,1,1,1
5770,11127.072999999999,1,1,1,1,1,1,1,1,1,1,1
5771,11004.033000000001,1,1,1,1,1,1,1,1,1,1,1
5772,10167.512999999994,1,1,1,1,1,1,1,1,1,1,1
5773,11266.063000000002,1,1,1,1,1,1,1,1,1,1,1
5774,10335.182999999999,1,1,1,1,1,1,1,1,1,1,1
5775,11133.825,1,1,1,1,1,1,1,1,1,1,1
5776,11628.472999999998,1,1,1,1,1,1,1,1,1,1,1
5777,11339.494999999999,1,1,1,1,1,1,1,1,1,1,1
5778,10741.899,1,1,1,1,1,1,1,1,1,1,1
5779,11542.537999999999,1,1,1,1,1,1,1,1,1,1,1
5780,11494.968000000004,1,1,1,1,1,1,1,1,1,1,1
5781,10107.121000000001,1,1,1,1,1,1,1,1,1,1,1
5782,10457.343,1,1,1,1,1,1,1,1,1,1,1
5783,10846.208000000002,1,1,1,1,1,1,1,1,1,1,1
5784,11505.133000000003,1,1,1,1,1,1,1,1,1,1,1
5785,11262.452999999996,1,1,1,1,1,1,1,1,1,1,1
5786,9907.98,1,1,1,1,1,1,1,1,1,1,1
5787,10600.873,1,1,1,1,1,1,1,1,1,1,1
5788,9132.508,1,1,1,1,1,1,1,1,1,1,1
5789,10394.925999999996,1,1,1,1,1,1,1,1,1,1,1
5790,11643.881000000003,1,1,1,1,1,1,1,1,1,1,1
5791,9673.346000000001,1,1,1,1,1,1,1,1,1,1,1
5792,11258.561000000003,1,1,1,1,1,1,1,1,1,1,1
5793,10537.999000000002,1,1,1,1,1,1,1,1,1,1,1
5794,10300.510000000004,1,1,1,1,1,1,1,1,1,1,1
5795,10719.118999999997,1,1,1,1,1,1,1,1,1,1,1
5796,11297.809000000001,1,1,1,1,1,1,1,1,1,1,1
5797,11444.613999999996,1,1,1,1,1,1,1,1,1,1,1
5798,10209.637999999997,1,1,1,1,1,1,1,1,1,1,1
5799,10231.391,1,1,1,1,1,1,1,1,1,1,1
5800,11268.771000000002,1,1,1,1,1,1,1,1,1,1,1
5801,10104.168,1,1,1,1,1,1,1,1,1,1,1
5802,10750.61,1,1,1,1,1,1,1,1,1,1,1
5803,10855.312999999998,1,1,1,1,1,1,1,1,1,1,1
5804,10989.894,1,1,1,1,1,1,1,1,1,1,1
5805,11768.356,1,1,1,1,1,1,1,1,1,1,1
5806,10955.053000000002,1,1,1,1,1,1,1,1,1,1,1
5807,10143.720000000001,1,1,1,1,1,1,1,1,1,1,1
5808,10796.055,1,1,1,1,1,1,1,1,1,1,1
5809,9753.196,1,1,1,1,1,1,1,1,1,1,1
5810,10802.387999999999,1,1,1,1,1,1,1,1,1,1,1
5811,10207.018999999998,1,1,1,1,1,1,1,1,1,1,1
5812,11339.250000000004,1,1,1,1,1,1,1,1,1,1,1
5813,10470.138000000004,1,1,1,1,1,1,1,1,1,1,1
5814,10667.966999999999,1,1,1,1,1,1,1,1,1,1,1
5815,11444.446000000002,1,1,1,1,1,1,1,1,1,1,1
5816,11525.339000000004,1,1,1,1,1,1,1,1,1,1,1
5817,11039.754999999997,1,1,1,1,1,1,1,1,1,1,1
5818,9281.600999999999,1,1,1,1,1,1,1,1,1,1,1
5819,9717.267999999998,1,1,1,1,1,1,1,1,1,1,1
5820,11606.347,1,1,1,1,1,1,1,1,1,1,1
5821,10620.140000000001,1,1,1,1,1,1,1,1,1,1,1
5822,11670.126000000002,1,1,1,1,1,1,1,1,1,1,1
5823,12205.421000000002,1,1,1,1,1,1,1,1,1,1,1
