hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
330,922712.3660000033,1,1,1,1,1,1,1,1,1,1,1
331,910373.8040000005,1,1,1,1,1,1,1,1,1,1,1
332,907652.5820000009,1,1,1,1,1,1,1,1,1,1,1
333,920845.6299999985,1,1,1,1,1,1,1,1,1,1,1
334,906050.4170000002,1,1,1,1,1,1,1,1,1,1,1
335,914898.9530000025,1,1,1,1,1,1,1,1,1,1,1
336,438270.597,1,1,1,1,1,1,1,1,1,1,1
28,552868.6340000001,1,1,1,1,1,1,1,1,1,1,1
336,457075.69100000005,1,1,1,1,1,1,1,1,1,1,1
337,878713.0199999994,1,1,1,1,1,1,1,1,1,1,1
338,924269.3129999973,1,1,1,1,1,1,1,1,1,1,1
339,907512.027000002,1,1,1,1,1,1,1,1,1,1,1
340,916170.4510000006,1,1,1,1,1,1,1,1,1,1,1
341,906693.8140000022,1,1,1,1,1,1,1,1,1,1,1
342,898894.2279999997,1,1,1,1,1,1,1,1,1,1,1
343,924189.7529999975,1,1,1,1,1,1,1,1,1,1,1
344,809365.4360000017,1,1,1,1,1,1,1,1,1,1,1
28,6263.108000000001,1,1,1,1,1,1,1,1,1,1,1
29,664763.0109999995,1,1,1,1,1,1,1,1,1,1,1
30,446389.85299999954,1,1,1,1,1,1,1,1,1,1,1
344,111349.776,1,1,1,1,1,1,1,1,1,1,1
345,909228.7470000004,1,1,1,1,1,1,1,1,1,1,1
346,938237.5799999988,1,1,1,1,1,1,1,1,1,1,1
347,915410.2380000001,1,1,1,1,1,1,1,1,1,1,1
348,918172.056999998,1,1,1,1,1,1,1,1,1,1,1
349,942620.5080000013,1,1,1,1,1,1,1,1,1,1,1
350,907668.8200000022,1,1,1,1,1,1,1,1,1,1,1
351,923321.1249999988,1,1,1,1,1,1,1,1,1,1,1
352,918072.8920000012,1,1,1,1,1,1,1,1,1,1,1
353,257058.83500000002,1,1,1,1,1,1,1,1,1,1,1
30,223772.9499999998,1,1,1,1,1,1,1,1,1,1,1
31,327779.8829999995,1,1,1,1,1,1,1,1,1,1,1
353,652849.6649999991,1,1,1,1,1,1,1,1,1,1,1
354,911165.2510000007,1,1,1,1,1,1,1,1,1,1,1
355,908645.5609999968,1,1,1,1,1,1,1,1,1,1,1
356,898500.4830000007,1,1,1,1,1,1,1,1,1,1,1
357,927461.9140000007,1,1,1,1,1,1,1,1,1,1,1
358,883951.9900000007,1,1,1,1,1,1,1,1,1,1,1
359,872460.3120000006,1,1,1,1,1,1,1,1,1,1,1
360,914100.6119999987,1,1,1,1,1,1,1,1,1,1,1
361,920772.1119999995,1,1,1,1,1,1,1,1,1,1,1
362,103209.49999999993,1,1,1,1,1,1,1,1,1,1,1
31,323527.87799999997,1,1,1,1,1,1,1,1,1,1,1
32,224690.23099999968,1,1,1,1,1,1,1,1,1,1,1
362,815186.2290000003,1,1,1,1,1,1,1,1,1,1,1
363,937337.3680000005,1,1,1,1,1,1,1,1,1,1,1
364,904468.4099999968,1,1,1,1,1,1,1,1,1,1,1
365,934288.4270000013,1,1,1,1,1,1,1,1,1,1,1
366,929457.1710000008,1,1,1,1,1,1,1,1,1,1,1
367,911283.0529999983,1,1,1,1,1,1,1,1,1,1,1
368,931860.3029999989,1,1,1,1,1,1,1,1,1,1,1
369,920264.5439999999,1,1,1,1,1,1,1,1,1,1,1
370,431705.64800000004,1,1,1,1,1,1,1,1,1,1,1
32,438885.32899999974,1,1,1,1,1,1,1,1,1,1,1
33,121214.18400000004,1,1,1,1,1,1,1,1,1,1,1
370,476242.6749999991,1,1,1,1,1,1,1,1,1,1,1
371,933378.1699999999,1,1,1,1,1,1,1,1,1,1,1
372,917996.9739999983,1,1,1,1,1,1,1,1,1,1,1
373,915319.291,1,1,1,1,1,1,1,1,1,1,1
374,931288.7400000001,1,1,1,1,1,1,1,1,1,1,1
375,927563.8209999974,1,1,1,1,1,1,1,1,1,1,1
376,927691.0769999996,1,1,1,1,1,1,1,1,1,1,1
377,920222.9609999995,1,1,1,1,1,1,1,1,1,1,1
378,891206.1279999998,1,1,1,1,1,1,1,1,1,1,1
33,547841.1279999989,1,1,1,1,1,1,1,1,1,1,1
34,9682.844,1,1,1,1,1,1,1,1,1,1,1
-1,220887.63500000018,1,1,1,1,1,1,1,1,1,1,1
0,327901.9239999996,1,1,1,1,1,1,1,1,1,1,1
378,25868.226999999995,1,1,1,1,1,1,1,1,1,1,1
379,944885.4009999991,1,1,1,1,1,1,1,1,1,1,1
380,933576.227999999,1,1,1,1,1,1,1,1,1,1,1
381,913886.1970000017,1,1,1,1,1,1,1,1,1,1,1
382,920407.7020000004,1,1,1,1,1,1,1,1,1,1,1
383,930393.7390000026,1,1,1,1,1,1,1,1,1,1,1
