HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
7,11,587991.2799999978,0,1,1,0,1,0,1,1,0,0,0,0,0,0
8,11,691285.1709999988,1,0,0,1,0,0,0,0,0,1,0,0,0,0
9,11,1546452.3629999992,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,11,1155307.9899999986,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,107454.1109999994,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,11,698487.2919999986,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,11,1478966.1670000022,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,12,572159.2519999987,0,0,0,0,0,1,1,1,0,1,0,1,0,0
1,12,1508633.1279999996,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,12,503671.3669999993,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,12,193004.76799999992,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,56488.16600000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,19221.427999999938,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,12,746306.6190000004,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,12,277259.60099999944,0,1,1,0,1,0,1,0,0,0,0,0,0,0
8,12,682928.9750000002,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,12,877054.7589999959,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,12,794591.7349999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,12,51303.82099999948,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,12,608478.2079999984,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12,731971.0140000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,13,573125.8920000003,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,13,1590993.6149999981,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,13,577613.7769999995,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,13,312795.2329999995,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,11720.849999999993,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,13,979998.2919999983,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,13,504861.8769999999,1,1,1,0,1,0,0,1,0,0,0,0,0,0
8,13,667400.5439999984,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,1034768.7099999962,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,13,866347.7109999983,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,13,33867.15300000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,548640.3150000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1100252.2600000002,1,1,1,1,0,1,0,0,0,0,0,1,0,0
0,14,578971.6360000011,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,14,1798245.1700000018,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2,14,862687.5180000005,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,14,515088.7379999993,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2096.2950000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,1291486.0999999999,1,0,1,0,0,1,0,0,0,0,1,1,0,0
7,14,852457.4939999979,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,14,684754.4919999955,1,0,0,0,1,0,0,0,0,0,0,0,0,0
